age,language,gender,assess,comments,workerid,education,enjoyment
35,English,Male,Yes,,0,1,1
26,English,Male,Yes,Nice hit.,1,2,1
35,English,Male,No,,2,2,1
35,English,Female,Yes,,3,2,1
42,English,Female,Yes,this was cute and fun! So curious what the study is about,4,3,2
30,English,Female,Yes,,5,3,1
58,English,Female,Yes,,6,2,2
50,English,Female,Yes,,7,3,1
61,English,Male,Yes,,8,3,1
47,english,Female,Yes,,9,3,1
38,English,Male,Yes,Thanks!,10,4,2
31,English,Female,,,11,4,2
52,English,Female,Yes,,12,3,1
30,english,Male,Yes,,13,3,1
31,English,Male,Yes,,14,2,1
20,english,Female,Yes,,15,2,2
30,English,Male,Yes,,16,3,1
45,turkish,Female,Yes,,17,3,1
56,english,Female,Yes,,18,1,1
58,English,Female,Yes,,19,1,2
38,English,Male,Yes,,20,2,2
46,english,Female,Yes,,21,3,2
57,English,Female,Yes,,22,3,2
22,spanish,Female,Yes,,23,2,1
20,English,Female,Yes,,24,2,1
48,english,Female,Yes,,25,3,2
31,English,Female,Yes,None,26,2,1
58,English,Male,Yes,tried to be tricky,27,3,1
27,English,Female,Yes,"I love elephants! This was quick and fun, thank you.",28,3,2
60,English,Female,Yes,,29,2,1
38,english,Female,Yes,,30,2,2
59,English,Female,Yes,I do not have any comments.,31,4,2
30,ENGLISH,Male,Yes,,32,2,2
24,Chinese,Female,Yes,,33,3,1
28,English,Female,Yes,"The Preview instructions were a bit unclear, but it made more sense after reading it.",34,4,2
45,English,Female,Yes,,35,1,2
29,English,Male,Yes,It is interesting.,36,3,2
31,English,Female,Yes,,37,2,2
51,English,Female,Yes,,38,3,1
58,English,Female,No,,39,4,2
47,English,Male,Yes,,40,4,2
51,English,Male,Yes,No comments,41,2,2
25,English,Male,Yes,,42,1,2
43,English,Female,Yes,,43,3,0
33,English,Female,Yes,,44,4,2
29,English,Male,Yes,,45,1,2
25,English,Female,Yes,,46,3,2
32,English,Male,Yes,,47,2,1
33,english,Male,Yes,this was short and fun,48,2,2
43,Tamil,Female,Yes,,49,3,2
63,English,Male,Yes,,50,3,1
,,,Yes,,51,-1,-1
40,English,Male,Yes,,52,3,1
31,English,Female,Yes,,53,4,1
44,English,Female,Yes,"This was fun - more like these, please!",54,3,2
43,English,Female,Yes,knowing how to select my answer was a little confusing at first.,55,2,2
26,english,Male,Yes,nice,56,4,2
67,English,Male,Yes,"Super-slow load of small pictures (books, 1-4).",57,3,2
50,English,Female,Yes,"Interested in the actual goal of this HIT.  How ""precise"" or ""exact"" should sharks answer be for example. Are you interested in exact answers or approximations.  I'm fascinated by this study and am interested in further participation. ",58,3,2
40,English,Male,Yes,Thanks!!,59,4,2
24,eng,Male,Yes,,60,1,1
42,English,Male,Yes,No comments.,61,3,2
22,Engish,Male,Yes,,62,3,1
57,english,Female,Yes,,63,4,0
29,English,Female,Yes,,64,2,2
28,English,Male,Yes,,65,4,2
56,English,Female,Yes,It was cute and interesting. Thank you.,66,3,2
61,German,Female,Yes,NA,67,3,1
73,English,Female,Yes,,68,4,2
33,English,Female,Yes,It was simple and straight-forward. Thanks and enjoy your day!,69,2,2
,,Female,Yes,,70,-1,-1
41,English,Male,Yes,Ty. :),71,3,1
41,English,Female,Yes,,72,1,1
27,English,Female,Yes,"That was interesting, different, and relaxing.",73,1,2
35,English,Female,Yes,,74,2,2
32,English,Male,Yes,,75,2,2
35,English,Female,Yes,,76,3,1
23,English,Female,Yes,,77,2,2
55,English,Female,Yes,,78,3,1
32,English,Male,Yes,,79,2,1
38,English,Male,Yes,It was short and easy to understand.,80,2,1
19,English,Male,Yes,,81,2,1
49,English,Female,No,"I could see the possible response being a matter of interpretation, but I went with what seemed to be the true meaning of the response.",82,2,2
37,English,Male,Yes,,83,1,1
38,English,Male,Yes,Well designed.,84,4,2
29,English,Male,Yes,,85,4,1
27,English,Male,Yes,,86,3,1
27,Hindi,Female,Yes,No comments,87,3,2
47,English,Male,Yes,,88,2,2
60,english,Female,Yes,interesting verbiage. ,89,3,2
25,English,Female,Yes,Very original. Pretty fun.,90,0,2
30,english,Male,Yes,,91,2,1
49,English,Female,Yes,,92,3,1
35,United States,Female,Yes,,93,2,2
36,english,Male,Yes,,94,4,1
48,english,Female,Yes,,95,3,2
43,english,Female,Yes,,96,3,2
27,English,Male,Yes,,97,2,2
62,English,Female,Yes,,98,3,1
27,english,Other,No,,99,1,1
24,1,Female,Yes,,100,3,1
,,Male,No,,101,-1,-1
53,English,Male,Yes,none,102,1,1
52,English,Female,Yes,"Pay isn't too good, but it's somewhat unusual and amusing, so that makes up for it.",103,3,2
55,english,Female,Yes,I enjoyed the survey.,104,3,2
58,English,Female,Yes,I was reminded of double negatives in english language,105,4,1
23,English ,Male,Yes,,106,2,2
44,English,Female,Yes,,107,3,2
49,English,Female,Yes,no,108,2,1
35,english,Female,Yes,,109,2,2
53,English,Female,Yes,,110,3,2
,,,,,111,-1,-1
31,English,Male,Yes,,112,3,1
36,English,Female,Yes,,113,3,1
51,English,Female,Yes,,114,4,1
38,English,Male,Yes,,115,3,2
70,English,Male,Yes,This was cute and interesting. i enjoyed it.,116,3,2
24,English,Female,Yes,,117,3,2
53,spanish,Female,Yes,it was good.,118,1,2
36,English,Female,Yes,,119,2,2
25,English,Male,Yes,good,120,3,1
70,english,Female,Yes,The sentence was technically grammatically correct (probably) but so poorly constructed it could be interpreted either way. ,121,4,2
24,English,Female,Confused,,122,3,1
24,English,Male,Yes,,123,2,2
35,english,Female,Yes,,124,1,2
24,English,Male,Yes,,125,1,1
28,english,Male,Yes,,126,1,1
36,English ,Female,Yes,I would like to do more of these. ,127,2,2
24,English,Female,Yes,,128,3,1
50,english,Male,Yes,"While elephant didn't answer the question, the info he gave was correct",129,4,1
69,English,Female,Yes,Thank You,130,1,2
26,English ,Male,Yes,,131,4,1
41,ENGLISH,Male,Yes,,132,2,2
20,English,Female,Yes,,133,2,1
57,English,Female,Yes,,134,3,2
27,english,Female,Yes,"n/a, have a great weekend :)",135,2,2
41,English ,Male,Yes,Odd but fun survey. Thanks!,136,3,1
21,english,Male,Confused,,137,2,2
48,english,Female,Yes,,138,3,1
60,English,Female,Yes,,139,2,1
29,English,Male,No,,140,3,1
38,English,Female,Yes,,141,2,2
26,English,Male,Yes,,142,2,1
26,English,Male,No,,143,3,2
34,English,Female,Yes,,144,3,2
58,English,Female,Yes,,145,4,1
29,English,Female,Yes,,146,3,2
28,English,Female,Yes,,147,3,1
26,english,Female,Yes,,148,4,-1
27,english,Female,Yes,,149,3,2
29,Laos,Female,Yes,,150,3,1
45,English,Male,Yes,,151,3,2
27,English,Female,Yes,,152,2,2
61,English,Female,Yes,thank you,153,2,2
36,english,Female,Yes,,154,2,1
41,english,Female,Yes,,155,2,1
27,English,Female,Yes,,156,3,2
50,english,Female,Yes,After the question about the instructions.  I am hoping I did the hit right.,157,1,2
69,english,Female,Yes,fun,158,2,2
55,English,Male,Yes,,159,2,1
44,English ,Female,Yes,Fun hit,160,3,2
