Browser,OS,screenW,workerid,screenH
Chrome,Mac,1680,0,1050
Firefox,Windows,1536,1,864
Chrome,Windows,3072,2,1728
Chrome,Linux,1024,3,600
Chrome,Windows,1366,4,768
Chrome,Mac,1280,5,800
Chrome,Windows,1366,6,768
Chrome,Windows,1229,7,692
Chrome,Windows,1280,8,1024
Chrome,Mac,1920,9,1080
Firefox,Windows,1536,10,864
Chrome,Mac,1280,11,800
Chrome,Mac,1280,12,800
Chrome,Windows,1239,13,697
Chrome,Windows,1920,14,1080
Chrome,Windows,1920,15,1080
Chrome,Linux,1360,16,768
Chrome,Windows,1920,17,1080
Chrome,Windows,1366,18,768
Chrome,Linux,1092,19,614
Firefox,Windows,1280,20,1024
Chrome,Windows,1280,21,720
Firefox,Windows,1120,22,700
Chrome,Mac,1440,23,900
Chrome,Windows,1536,24,864
Chrome,Windows,1280,25,1024
Chrome,Windows,1920,26,1200
Chrome,Windows,1920,27,1080
Chrome,Linux,1536,28,864
Chrome,Windows,1366,29,768
Chrome,Windows,1600,30,900
Chrome,Windows,1366,31,768
Firefox,Windows,1920,32,1080
Chrome,Mac,1440,33,900
Chrome,Windows,1366,34,768
Chrome,Windows,1366,35,768
Chrome,Windows,1366,36,768
Chrome,Windows,1280,37,1024
Chrome,Windows,1366,38,768
Chrome,Linux,1366,39,768
Chrome,Windows,1366,40,768
Chrome,Mac,1280,41,800
Chrome,Windows,1920,42,1080
Chrome,Windows,1280,43,768
Chrome,Windows,1920,44,1080
Chrome,Windows,1708,45,960
Chrome,Windows,1366,46,768
Chrome,Mac,1280,47,800
Chrome,Linux,1366,48,768
Chrome,Linux,1187,49,667
Chrome,Windows,1366,50,768
Chrome,Linux,1366,51,768
Chrome,Windows,1920,52,1080
Chrome,Mac,1440,53,900
Chrome,Windows,1920,54,1080
Chrome,Windows,1280,55,1024
Chrome,Windows,1364,56,768
Chrome,Windows,1280,57,720
Chrome,Linux,1366,58,768
Chrome,Windows,1366,59,768
Chrome,Windows,1440,60,900
Chrome,Mac,1280,61,800
Chrome,Windows,1536,62,864
Chrome,Windows,1600,63,900
Chrome,Windows,1366,64,768
Chrome,Mac,1440,65,900
Chrome,Windows,1360,66,768
Chrome,Windows,1366,67,768
Chrome,Mac,1280,68,1024
Chrome,Windows,1366,69,768
Chrome,Windows,1920,70,1080
Chrome,Windows,1366,71,768
Firefox,Windows,1024,72,768
Safari,an unknown OS,768,73,1024
Chrome,Windows,1920,74,1080
Chrome,Windows,1920,75,1080
Chrome,Windows,1440,76,900
Chrome,Windows,1920,77,1080
Chrome,Windows,1368,78,912
Chrome,Windows,1366,79,768
Chrome,Windows,3840,80,2160
Chrome,Windows,1920,81,1080
Chrome,Windows,1366,82,768
Chrome,Windows,1366,83,768
Chrome,Windows,1920,84,1080
Chrome,Windows,1920,85,1080
Chrome,Windows,1920,86,1080
Safari,iPhone/iPod,375,87,812
Chrome,Windows,1536,88,864
Safari,Mac,2560,89,1440
Chrome,Windows,1366,90,768
Chrome,Mac,1440,91,900
Chrome,Mac,1280,92,800
Chrome,Windows,1920,93,1080
Chrome,Mac,1366,94,768
Chrome,Windows,1280,95,800
Firefox,Mac,1920,96,1080
Chrome,Windows,1920,97,1080
Chrome,Mac,1440,98,900
Chrome,Windows,1920,99,1080
Chrome,Mac,1440,100,900
Chrome,Windows,1920,101,1080
Chrome,Linux,1241,102,698
Chrome,Windows,1536,103,864
Chrome,Windows,1366,104,768
Chrome,Mac,1440,105,900
Chrome,Linux,412,106,869
Chrome,Mac,1920,107,1200
Chrome,Windows,1920,108,1080
Chrome,Linux,1366,109,768
Chrome,Windows,1440,110,900
Safari,Mac,768,111,1024
Firefox,Windows,1760,112,990
Chrome,Windows,1280,113,1024
Chrome,Windows,1536,114,864
Chrome,Windows,1440,115,900
Chrome,Mac,1920,116,1080
Chrome,Windows,1676,117,943
Chrome,Windows,1536,118,864
Chrome,Windows,1920,119,1080
Chrome,Windows,1364,120,768
Chrome,Windows,1366,121,768
Chrome,Windows,1366,122,768
Chrome,Windows,1680,123,1050
Chrome,Windows,1920,124,1080
Chrome,Windows,1600,125,900
Chrome,Windows,1366,126,768
Safari,Mac,768,127,1024
Chrome,Windows,1920,128,1080
Chrome,Windows,1280,129,720
Chrome,Windows,1920,130,1080
Chrome,Linux,1280,131,800
Chrome,Windows,1366,132,768
Safari,Mac,1440,133,900
Chrome,Mac,1920,134,1080
Chrome,Windows,1920,135,1080
Chrome,Linux,1366,136,768
Chrome,Windows,1366,137,768
Chrome,Windows,1920,138,1080
Chrome,Windows,1920,139,1080
Chrome,Windows,1366,140,768
Chrome,Linux,1366,141,768
Firefox,Mac,1680,142,1050
Chrome,Windows,1920,143,1080
Chrome,Windows,1366,144,768
Chrome,Windows,1366,145,768
Chrome,Windows,1366,146,768
Chrome,Windows,1680,147,1050
Chrome,Windows,1366,148,768
Chrome,Windows,1707,149,960
Firefox,Windows,1366,150,768
Chrome,Windows,1366,151,768
Chrome,Windows,1440,152,900
Firefox,Windows,1207,153,678
Chrome,Mac,1280,154,800
