"","number","trial_type","quantifier","Answer.condition","QUD","item","workerid","Answer.time_in_minutes","slide_number","context","response","language","age","gender","comments","assess"
"2","two","one_slider","every","undefined","none","lions",1,1.58736666666667,3,"without",0,"English",26,"Male","Nice hit.","Yes"
"5","four","one_slider","every","undefined","all","butterflies",4,2.09003333333333,3,"without",0.93,"English",42,"Female","this was cute and fun! So curious what the study is about","Yes"
"7","two","one_slider","every","undefined","many","lions",6,1.01265,3,"without",0.97,"English",49,"Female","","Yes"
"9","two","one_slider","every","undefined","none","dinosaurs",8,1.2786,3,"without",0,"English",22,"Male","","Yes"
"11","four","one_slider","every","undefined","all","frogs",10,1.7417,3,"with",0.79,"English",58,"Female","","Yes"
"12","two","one_slider","every","undefined","many","dinosaurs",11,1.16208333333333,3,"without",1,"English",50,"Female","","Yes"
"15","four","one_slider","every","undefined","many","frogs",14,1.32918333333333,3,"with",0.84,"English",38,"Male","Thanks!","Yes"
"16","four","one_slider","every","undefined","all","frogs",15,1.55675,3,"without",0.98,"English",32,"Male","N/A","No"
"17","four","one_slider","every","undefined","all","frogs",16,1.34556666666667,3,"with",0.98,"english",41,"Female","","Yes"
"18","four","one_slider","every","undefined","none","butterflies",17,1.97903333333333,3,"with",0.07,"English",30,"Female","","Yes"
"19","four","one_slider","every","undefined","all","butterflies",18,0.911816666666667,3,"without",0,"English",31,"Female","",""
"20","four","one_slider","every","undefined","all","butterflies",19,1.55673333333333,3,"with",0.6,"English",52,"Female","","Yes"
"22","four","one_slider","every","undefined","all","lions",21,0.811583333333333,3,"with",1,"English",31,"Male","","Yes"
"29","two","one_slider","every","undefined","many","frogs",28,2.0081,3,"without",0.97,"English",38,"Male","","Yes"
"35","two","one_slider","every","undefined","none","butterflies",34,1.27838333333333,3,"with",0.98,"English",31,"Female","None","Yes"
"36","four","one_slider","every","undefined","all","lions",35,1.37923333333333,3,"with",1,"English",26,"Male","Quick and Simple","Yes"
"37","four","one_slider","every","undefined","many","dinosaurs",36,2.1267,3,"without",0.83,"English",58,"Male","tried to be tricky","Yes"
"38","two","one_slider","every","undefined","all","frogs",37,8.55331666666667,3,"with",1,"English",27,"Female","I love elephants! This was quick and fun, thank you.","Yes"
"40","four","one_slider","every","undefined","none","lions",39,2.12843333333333,3,"with",0.96,"english",38,"Female","","Yes"
"44","two","one_slider","every","undefined","none","dinosaurs",43,1.51616666666667,3,"without",0.27,"English",28,"Female","The Preview instructions were a bit unclear, but it made more sense after reading it.","Yes"
