workerid,item,slide_number,number,context,response,Answer.time_in_minutes,Answer.condition,trial_type
0,,,,,0.68,2.4566,twowithout,one_slider_practice
0,,,,,0.76,2.4566,twowithout,one_slider_practice
0,control1,6,four,without,0.58,2.4566,twowithout,one_slider
0,frog,7,four,without,0.67,2.4566,twowithout,one_slider
0,control3,8,two,with,0.75,2.4566,twowithout,one_slider
0,lions,9,two,with,0.33,2.4566,twowithout,one_slider
0,butterflies,10,four,with,0.7,2.4566,twowithout,one_slider
0,control2,11,four,without,0.72,2.4566,twowithout,one_slider
0,dinosaurs,12,two,without,0.72,2.4566,twowithout,one_slider
1,,,,,0.96,8.863333333333333,fourwithout,one_slider_practice
1,,,,,0,8.863333333333333,fourwithout,one_slider_practice
1,control1,6,four,with,0,8.863333333333333,fourwithout,one_slider
1,lions,7,two,without,1,8.863333333333333,fourwithout,one_slider
1,butterflies,8,two,without,0,8.863333333333333,fourwithout,one_slider
1,dinosaurs,9,two,with,1,8.863333333333333,fourwithout,one_slider
1,control2,10,four,with,0.53,8.863333333333333,fourwithout,one_slider
1,frog,11,two,without,0.72,8.863333333333333,fourwithout,one_slider
1,control3,12,four,without,0,8.863333333333333,fourwithout,one_slider
2,,,,,1,4.47775,fourwithout,one_slider_practice
2,,,,,0,4.47775,fourwithout,one_slider_practice
2,dinosaurs,6,two,with,0,4.47775,fourwithout,one_slider
2,butterflies,7,two,without,1,4.47775,fourwithout,one_slider
2,lions,8,four,without,0.99,4.47775,fourwithout,one_slider
2,control1,9,two,without,1,4.47775,fourwithout,one_slider
2,frog,10,four,without,1,4.47775,fourwithout,one_slider
2,control3,11,two,without,0,4.47775,fourwithout,one_slider
2,control2,12,four,without,1,4.47775,fourwithout,one_slider
3,,,,,0.75,7.154566666666667,fourwith,one_slider_practice
3,,,,,0.31,7.154566666666667,fourwith,one_slider_practice
3,lions,6,two,without,1,7.154566666666667,fourwith,one_slider
3,control2,7,four,with,1,7.154566666666667,fourwith,one_slider
3,control1,8,four,with,0,7.154566666666667,fourwith,one_slider
3,control3,9,two,with,0,7.154566666666667,fourwith,one_slider
3,dinosaurs,10,two,without,1,7.154566666666667,fourwith,one_slider
3,butterflies,11,four,with,1,7.154566666666667,fourwith,one_slider
3,frog,12,four,with,1,7.154566666666667,fourwith,one_slider
4,,,,,1,4.709983333333334,fourwithout,one_slider_practice
4,,,,,0,4.709983333333334,fourwithout,one_slider_practice
