language,describe,workerid,education,gender,assess,outsideLanguage,enjoyment,comments,lived,homeLanguage,proficiency,yearsLived,age
中文,ChineseEnglish,0,1,Male,Yes,english,1,好学习..,both8,english,nearNative,1to5,26
 印度人,ChineseEnglish,1,2,Male,Yes,chinese,0,"
良好的调查e非常非常液体和良好的环境",both8,chinese,intermediate,1,29
Chinese,ChineseChinese,2,3,Female,Yes,english,1,,both8,chinese,native,5plus,44
你儿时在家,ChineseEnglish,3,1,Male,No,english,1,下列哪个选项最,both8,chinese,advanced,never,025
english,ChineseChinese,4,2,Female,Yes,chinese,0,,never,chinese,nearNative,never,40
cffv,ChineseChinese,5,0,Male,No,english,0,,before8,other,native,1,ferd
,ChineseEnglish,6,1,Female,Yes,english,1,,both8,english,intermediate,1,
,ChineseEnglish,7,2,Male,Yes,chinese,1,这个测试非常酷,never,chinese,nearNative,1,浩
,EnglishChinese,8,2,Female,Yes,other,1,,never,english,nearNative,1to5,
你儿时在,ChineseEnglish,9,1,Male,Yes,other,0,A2XZR9709N0GVA,both8,chinese,intermediate,1,你儿
中文,EnglishChinese,10,3,Female,Yes,chinese,0,"
没关系",after8,english,nearNative,1to5,45
english,ChineseChinese,11,2,Male,Confused,english,0,,before8,english,advanced,1,28
Chinese,ChineseChinese,12,3,Male,Yes,chinese,2,,both8,chinese,native,5plus,36
Italia,ChineseEnglish,13,1,Male,Yes,chinese,1,我觉得我回答得很好，我的中文水平不是很高，我肯定会错过最后一步的一些信息，这些故事都很有趣。,before8,english,advanced,never,27
,-1,14,-1,,Yes,-1,-1,,-1,-1,-1,-1,29
,-1,15,2,Male,,chinese,1,,both8,chinese,basic,1to5,
 葡萄牙,ChineseEnglish,16,1,Female,Yes,english,1,"
我真的很喜欢这个打击",never,english,basic,never,23
,ChineseChinese,17,0,Male,No,chinese,0,,never,chinese,basic,never,
Brasil,ChineseEnglish,18,2,Male,Confused,other,1,YES.,never,english,native,1to5,21
english,ChineseChinese,19,2,Female,Yes,english,0,this is good,before8,chinese,nearNative,1,34
