workerid,language,comments,age,gender,assess,enjoyment,education
0,English,,27,Male,Yes,1,1
1,English,,23,Female,Yes,2,3
2,English,,37,Female,Yes,2,3
3,English,Fun HIT!!!,57,Female,Yes,2,3
4,English,interesting,24,Male,Yes,2,3
5,english,great,30,Male,Yes,2,4
6,English,,64,Male,Yes,2,3
7,English,Thanks.,58,Female,Yes,2,1
8,,,,,,-1,-1
9,English,,25,Male,Yes,1,2
10,english,,34,Male,Yes,1,0
11,English,,56,Male,Yes,1,1
12,English,,26,Male,Yes,1,1
13,English,"Fun experiment.

Have a great day!",22,Male,Yes,1,1
14,English,,30,Male,Yes,2,3
15,english,,30,Female,No,1,3
16,English,Fun!,58,Female,Yes,2,4
17,english,nice survey,39,Male,Confused,1,3
18,english,good,28,Female,Yes,1,3
19,"English, Spanish",It was sort of fun!,21,Male,Yes,2,2
20,english,,35,Female,Yes,1,3
21,english,was interesting thanks for the opportunity,38,Male,Yes,2,3
22,English,Very interesting - best of luck on our research,41,Male,Yes,2,4
23,English,Thanks for the opportunity!,40,Female,Yes,1,3
24,English,,54,Female,,1,3
25,english,,56,Female,Yes,1,3
26,english,,24,Other,Yes,2,3
27,English,good survey,34,Male,Yes,2,3
28,English,,28,Male,Yes,2,2
29,English,N/A,28,Male,Yes,2,2
30,United States,,31,Female,Yes,1,2
31,Turkish,,38,Male,Yes,2,4
32,english,,45,Female,Yes,2,3
33,English,,30,Female,No,2,1
34,English,Easy to understand,70,Male,Yes,2,3
35,English,,35,Male,Yes,2,3
36,English,None,36,Female,Yes,2,2
37,english,,21,Male,Yes,1,2
38,English,,32,Male,Yes,1,2
39,English,,37,Male,Yes,2,3
40,english,no comments,33,Male,Yes,1,1
41,english,good,30,Female,Yes,2,3
42,english,very good,30,Male,Yes,1,1
43,English,This survey is very good and interesting,34,Female,Yes,2,3
44,english,,29,Female,Yes,2,2
45,English,,29,Female,Yes,1,3
46,English,Great hit! Very fun.,20,Male,Yes,2,2
47,English ,,29,Female,Yes,2,2
48,USA ENGLISH,,49,Female,Yes,1,3
49,English,,56,Female,Yes,1,2
50,English,,40,Male,Yes,2,3
51,English,Thank you for the opportunity to participate in this experiment.,47,Female,Yes,2,3
52,,,30,Male,Yes,-1,1
53,English,,44,Female,Yes,1,2
54,english,,39,Female,Yes,2,2
55,english,,28,Male,Yes,1,3
56,ENGLISH,,46,Female,Yes,1,2
57,english,,26,Female,Yes,2,4
58,English,"None, really.",48,Male,Yes,1,3
59,English,Yes Interesting the hit and good,24,Male,Yes,2,3
60,English,,38,Male,Yes,1,2
61,English ,,24,Female,Yes,2,4
62,English,very interesting ,42,Female,Yes,2,3
63,English,n,36,Female,Yes,2,3
64,English ,,32,Male,Yes,1,3
65,English,,33,Male,Yes,1,2
66,English,no problems,45,Male,Yes,1,2
67,,thank you,39,Female,Yes,2,3
68,English,,28,Male,No,1,3
69,English,,39,Male,Yes,2,2
70,English,,23,Male,Yes,2,3
71,English,Thanks,35,Male,Yes,2,3
72,ENGLISH,,41,Male,Yes,2,3
73,english,,21,Female,Yes,1,2
74,English,none,46,Male,No,2,3
75,english,,29,Female,Yes,1,2
76,English ,,37,Female,Yes,2,2
77,English,,30,Female,Yes,1,3
78,English,I thought the puppets were a cute addition. It made it a little more fun.,45,Female,Yes,1,3
79,English,,31,Male,Yes,1,3
80,English,,24,Male,Yes,1,3
81,English,,34,Female,Yes,1,3
82,english,,45,Male,Yes,2,3
83,English,The reward is too low for the time it takes.,31,Male,Yes,1,3
84,English ,,28,Female,Yes,2,3
85,English,,37,Male,Yes,1,1
86,English,,30,Female,Yes,1,3
87,English,,26,Male,Yes,2,3
88,English,,35,Male,Yes,2,3
89,ENGLISH,,25,Male,Yes,2,4
90,English,,30,Male,Yes,2,2
91,English,,50,Female,Yes,2,4
92,english,,25,Female,Yes,2,3
93,english,some of the scenarios didnt contain enough information to know one way or the other whether the puppets were correct,34,Male,Yes,1,3
94,English,,25,Male,Yes,2,3
95,English,,25,Male,Yes,1,3
96,English,,45,Female,Yes,2,3
97,English,,53,Female,Yes,2,4
98,english,,34,Male,Yes,1,2
99,English,,33,Female,Yes,2,3
100,English,,39,Female,Yes,2,3
101,english,,26,Female,No,1,2
102,english,,21,Other,Yes,1,1
103,english,"God bless and good luck! You gonna have a great career and live your dreams.
",28,Male,Yes,2,2
104,English,,44,Female,Yes,2,3
105,"English, Spanish",,32,Male,Yes,1,3
106,english,,31,Male,Yes,2,2
107,English,"I wasn't sure if I was getting tricked, but the more I read the more I saw how the language made the difference in whether the animals actually did the things or didn't do the things. I had fun and enjoyed it, it's just a little underpaid which is what's up with the average hit choice. Thank you!",28,Female,Yes,1,2
108,english,,32,Female,Yes,2,2
109,English,,22,Male,Yes,2,2
110,English,I did not experience any problems or technical difficulties while completing this study.,35,Female,Yes,2,3
111,English,"I guess ""right"" and ""wrong"" could also depend on context. Did 4 butterflies go to the city? Well I'm sure at some point that has happened, so it is right. Did the 4 butterflies in the story go to the city? No, so it's wrong.

The lack of context makes the question both right and wrong.",35,Male,Yes,1,2
112,,,,,,-1,-1
113,English,,26,Male,No,2,3
114,English,If you have any future studies please invite me ! This one was entertaining :),29,Male,Yes,2,2
115,English,This survey is very good and interesting,44,Male,Yes,1,4
116,English ,Brilliant ,47,Male,Yes,2,3
117,English,Thank you! :D,26,Female,Yes,1,2
118,english,,57,Female,Yes,2,2
119,English,I suspect there were some subtleties that I didn't notice.,73,Male,Yes,2,3
