language,assess,enjoyment,comments,workerid,age,education,gender
english,Yes,2,nice survey,0,30,3,Male
English,Yes,2,nice,1,27,3,Female
English,No,1,,2,24,3,Female
ENGLISH,Yes,2,NICE,3,44,3,Female
English,Yes,1,,4,30,2,Male
,Yes,2,,5,,2,Female
English,Yes,1,No additional,6,36,3,Male
English,Yes,1,,7,29,1,Female
English,No,1,"I think saying every X didn't Y is ambiguous.  I mean, every X that didn't Y, didn't Y.  I hope I did it right.  Thanks for the opportunity to participate in your research!",8,32,2,Female
English,Yes,1,,9,30,1,Male
English,Yes,2,Interesting study.,10,27,2,Male
English,Yes,2,,11,33,2,Male
English,Yes,2,very interesting,12,25,3,Female
english,Yes,1,,13,50,4,Male
english,Yes,1,,14,29,1,Female
English ,Yes,2,very interest ,15,39,3,Male
english,Confused,1,,16,27,3,Male
english,Yes,2,nothing,17,24,3,Male
english,Yes,1,,18,26,2,Male
English,Yes,0,,19,51,4,Male
English,Yes,1,,20,33,2,Female
English,Yes,2,,21,36,1,Female
English,Yes,2,,22,34,3,Male
English,Yes,1,,23,29,2,Male
English,Yes,2,,24,39,3,Male
english,Yes,2,In order to carefully read all of the sentences this HIT takes a lot longer than it should for the pay.,25,36,3,Female
English,Yes,2,,26,27,3,Male
english,Yes,1,very good,27,33,4,Male
English,Yes,1,,28,55,1,Female
english,Yes,1,The pay is lower than most HITs of this type. ,29,34,3,Female
english,Yes,2,,30,49,2,Female
English,Yes,1,n.a just do hope to see a bonus with this,31,23,2,Male
English,Yes,2,This survey is very good and interesting,32,39,3,Female
English,Yes,1,I did not like the iffy answers that were basically half correct.  Using the Every with didn't made me cringe,33,38,4,Male
english,Yes,2,very well,34,39,2,Female
English,Yes,1,,35,29,3,Male
English,Yes,2,,36,28,3,Female
english,Yes,1,very interesting,37,23,3,Male
English,Yes,1,,38,42,4,Male
English,Yes,1,,39,62,2,Female
english,Yes,1,,40,37,3,Male
english,Yes,2,none,41,46,3,Female
english,Yes,2,,42,31,3,Female
English,Yes,1,,43,33,4,Female
English,Yes,1,,44,30,3,Male
English,Yes,1,,45,58,2,Male
English,Yes,2,,46,32,3,Male
english,Yes,2,very interesting,47,23,3,Male
English,Yes,1,,48,33,2,Other
English,Yes,1,,49,61,2,Female
English,Yes,2,This was simple and fun.,50,29,3,Male
english,Yes,1,,51,25,3,Male
english,Yes,2,this was enjoyable,52,32,3,Female
English,Yes,1,,53,31,3,Female
English,Yes,0,No comments,54,30,2,Male
English,Yes,1,,55,37,2,Male
english,Yes,1,,56,52,3,Female
,,-1,,57,,-1,
English,Yes,2,It is interesting.,58,29,3,Female
English,Yes,1,,59,26,3,Female
english,Yes,1,,60,28,1,Female
english,Yes,2,very interesting experiment,61,43,-1,Female
English,Yes,1,,62,29,3,Female
English,No,1,,63,33,2,Other
English,Yes,1,No comments at the current time.,64,39,2,Female
english,,0,survey is game,65,28,3,Female
English,Yes,1,,66,29,2,Female
English,Yes,2,,67,28,2,Male
English,Yes,0,The HIT is greatly underpaid for tha amount of reading involved. ,68,53,4,Female
English,Yes,1,Very interesting experiment.,69,26,3,Male
english,Yes,1,good,70,37,3,Male
English,Yes,2,Nice,71,27,3,Female
English,Yes,1,,72,21,1,Female
English,Yes,2,,73,28,2,Male
English,Yes,2,,74,35,3,Male
English,Yes,1,,75,51,3,Male
English,Yes,1,none,76,32,3,Female
english,No,2,,77,47,3,Female
English,Yes,2,,78,23,2,Male
English,Yes,2,It is interesting.,79,29,4,Female
English,Yes,1,,80,32,3,Female
english,Yes,2,,81,23,2,Female
english,No,1,,82,41,2,Male
English,Yes,2,Nice hit,83,30,3,Male
English,Yes,2,Interesting and enjoyable,84,50,3,Female
English,Yes,2,very interesting,85,39,3,Male
English,Yes,1,None,86,22,3,Female
English,Yes,2,None,87,35,3,Male
English ,Yes,2,very interest ,88,39,3,Female
English,Yes,2,Survey was good,89,39,4,Male
english,Yes,1,6 minutes? more like 10.,90,41,2,Female
english,Yes,1,,91,38,2,Male
English,Yes,2,Interesting survey.  Thanks for posting :),92,41,3,Male
english,Yes,1,,93,28,3,Male
english,Yes,2,,94,25,3,Male
English,Yes,1,No comments,95,27,2,Female
English,Yes,2,this survey is very interesting ,96,30,3,Female
English,Yes,2,,97,23,3,Female
English,Yes,2,,98,30,3,Male
English,Yes,1,,99,32,3,Female
English,Yes,1,,100,36,3,Female
Englush,Yes,1,,101,31,2,Female
English,Yes,1,,102,24,1,Male
ENGLISH,Yes,2,NOTHING,103,51,3,Female
English,Yes,1,,104,27,2,Female
English,Yes,1,Thank you,105,43,4,Female
English,Yes,2,Nice,106,25,3,Female
English,Yes,2,good,107,26,4,Female
english,Yes,1,na,108,55,2,Male
English,Yes,1,,109,50,3,Male
English,Yes,2,,110,47,3,Female
English,Yes,2,It was a fun hit,111,23,3,Female
English,Yes,1,I think some of these were trick questions,112,50,0,Male
English ,Yes,1,,113,32,2,Female
English,Yes,2,"I read ""Every _ didn't"" literally, as in ""every _ did not"", as opposed to interpreting it as ""not every _ did"".",114,42,3,Male
English,Yes,2,Good,115,29,4,Male
English,Yes,2,n/a,116,28,3,Female
